Inventario,Marca,Modello,Anno,AnniProduzione,Paese,Acquisizione,TipoMotore,Cilindrata,Potenza,Velocita
P 030,Fiat,500 C,1954,,,Comodato,,,,
V 205,Fiat,500 C Belvedere,1952,,Italia,Dono di,,,,
COM 006,Fiat,500 D (Pertini) ,1962,1960-1965,Italia,,combustione interna,"499,5 cc","17,5 CV a 4400 giri/min.",95 km/h
V 208,Fiat ,500 L,1970,,Italia,Dono di Finalfa srl,,,,
V059,Fiat,501 S,1924,1922-1926,Italia,"Dono di Mario Tangazzi, Milano",,1460 cc,"26,5 CV a 3000 giri/min.",100 km/h
V063,Fiat,"508 ""Balilla""",1932,1932-1937,Italia,"Dono della Famiglia Bruzzone, Sanremo (IM)",combustione interna,995 cc,20 CV a 3400 giri/min.,85 km/h
V135,Fiat,508 S,1934,,Italia,,combustione interna,995 cc,36 hp - 4400 rpm,115 km/h
V134,Fiat,509 A,1929,,Italia,,combustione interna,990 cc,22 hp - 3400 rpm,78 km/h
V061,Fiat,519 S,1923,1922-1924,Italia,"Dono della Famiglia Agnelli, Torino",combustione interna,4766 cc,77 CV a 2600 giri/min.,126 km/h
V062,Fiat,520,1928,1927-1929,Italia,"Dono di Virginia Agnelli Bourbon del Monte, Torino",combustione interna,2244 cc,46 CV a 3400 giri/min.,90 km/h
V 157,Fiat,600,1955,,Italia,,combustione interna,633 cc,"21,5 hp - 4600 rpm",95 km/h
V 186,Fiat ,600 Multipla,1956/1995,,Italia,Dono di Fiat (dichiarazione Gaffino),combustione interna,633 cc,"21,5 hp - 4600 rpm",90 km/h
V 175,Fiat,850 S,1969,,Italia,,combustione interna,843 cc,42 hp - 5000 rpm,125 km/h
V 163,Fiat,1900 B Granluce,1958,1956-1958,Italia,"Dono di Dante Bertolani, Torino",combustione interna,1901 cc,80 CV a 4000 giri/min.,145 km/h
V 194,Fiat,Barchetta,1998,,Italia,"Dono di Marco Leicht, Spoleto (PG)",,,,
V058,Fiat,S 57-14 B,1914,,Italia,,combustione interna,4492 cc,135 hp - 3500 rpm,145 km/h
V057,Fiat,Tipo Zero A,1913,1913-1915,Italia,"Acquistata da Antonio Monticone, Torino",combustione interna,1846 cc,18 CV a 1700 giri/min.,70 km/h
V065,Fiat,Turbina,1954,1954,Italia,"Dono di Fiat S.p.A., Torino",combustione interna,,300 CV a 22000 giri/min.,250 km/h
V066,Florentia,10 HP ,1903,1903,Italia,"Acquistata da Giorgio Franchetti, Roma",combustione interna,7690 cc (da dida 1400 cc),15 CV a 1200 giri/min.,55 km/h
V067,FOD,18 HP,1926,1925-1927,Italia,,combustione interna,565 cc,18 CV a 3000 giri/min.,75 km/h
V070,Ford,Jeep,1941,1941-1945,Stati Uniti,"Dono dell’A.R.A.R. - Azienda Rilievo Alienazione Residuati, Roma",combustione interna,2199 cc,60 CV a 4000 giri/min.,105 km/h
V068,Ford,Model T,1916,1908-1927,Stati Uniti,"Dono di Ford Italiana S.p.A., Bologna",combustione interna,2863 cc,20 CV a 1600 giri/min.,70 km/h
P 023,Formula Monza,875,1965,,,,,,,
V 160,Gaz,M-20V Pobeda,1957,,Russia,,,,,
V072,Hurtu,3 HP,1898,,Francia,Dono di Giuseppe di Caravita di Sirignano,combustione interna,1026 cc,3 hp - 400 rpm,35 km/h
P 003,Idra,8,2008,,Italia,Prestito Polito,elettrico,,,
P 004,Idra,11,2011,,Italia,Prestito Polito,idrogeno,,,
P 005,Idra,Pegasus ,2012,,Italia,Prestito Polito,,,,
V 193,Innocenti ,Mini T,1967,,Italia,"Dono della Famiglia Castronuovo, Bisuschio (VA)",,,,
V004,Iso Rivolta,Lele F,1972,1969-1972,Italia,,combustione interna,5356 cc,350 CV a 5800 giri/min.,250 km/h
V076,Isotta Fraschini,8A,1929,1924-1931,Italia,"Acquistata da Pacific Auto Rental (Stati Uniti)- intermediari Molari, Colombo e Vaccari",combustione interna,7370 cc,110 CV a 2400 giri/min.,140 km/h
V073,Isotta Fraschini,AN 20/30 HP,1909,1909,Italia,"Dono di Francesca (Nella) Mirabile Mancusio, Messina",combustione interna,4940 cc,30 CV a 1200 giri/min.,70 km/h
V124,Isotta Fraschini ABC ,Cattaneo Trossi,1934,1934,Italia,"Dono di Giovanni Agnelli, Torino",combustione interna,855 cc,23 CV a 2500 giri/min.,110 km/h
V079,Itala,11,1925,1925,Italia,"Dono di Giulio Cesare Cappa, Torino",combustione interna,1050 cc,60 CV a 7000 giri/min.,150 km/h (indicativa)
V078,Itala,25/35 HP,1912,1912-1915,Italia,"Dono di Edoardo Baravalle, Torino",combustione interna,5401 cc,35 CV a 1400 giri/min.,75 km/h
V138,Itala,"35/45 HP ""Pechino-Parigi""",1907,1907-1915,Italia,"Dono di Itala S.A.C.A., Torino",combustione interna,7433 cc,45 CV a 1250 giri/min.,95 km/h
V077,Itala,"35/45 HP ""Palombella""",1909,1907-1915,Italia,"Acquistata da R. Reussmann, Roma",combustione interna,7433 cc,45 CV a 1250 giri/min.,70 km/h
V003,Jaguar,E 4.2,1969,,Regno Unito,,combustione interna,4200 cc,269 hp - 5500 rpm,240 km/h
,Jamais Contente,,1899,,Belgio,Riproduzione realizzata per il nuovo allestimento,elettrico,,68 hp,105 km/h
V 204,KIA,EV6,2022,,Corea del sud,Dono di KIA Italy,,,,
